Hari,Fokus,Tugas Utama,Tugas Tambahan,Estimasi Waktu,Status,Catatan
12,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 12 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
13,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 13 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
14,Bikin produk & aset,"Buat produk pertama, bonus, cover, dan halaman jualan",Catat insight hari 14 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
15,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 15 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
16,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 16 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
17,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 17 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
18,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 18 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
19,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 19 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
20,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 20 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
21,Konten & promosi,"Produksi konten, posting rutin, dan follow up DM",Catat insight hari 21 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
22,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 22 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
23,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 23 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
24,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 24 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
25,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 25 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
26,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 26 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
27,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 27 dan simpan contoh konten terbaik,90 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
28,"Evaluasi, optimasi, scale","Baca data, optimasi produk, bundle, dan naikkan volume promosi",Catat insight hari 28 dan simpan contoh konten terbaik,30 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
29,Finishing scale,Review akhir dan rencana 30 hari berikutnya,Catat insight hari 29 dan simpan contoh konten terbaik,45 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
30,Finishing scale,Review akhir dan rencana 30 hari berikutnya,Catat insight hari 30 dan simpan contoh konten terbaik,60 menit,Belum mulai,"Kerjakan dari HP pun cukup, yang penting konsisten"
