Tanggal,Platform,Jenis Konten,Hook,Body Caption,CTA,Produk yang Dipromosikan,Status,Link Post,Views,Like,Komentar,DM Masuk,Catatan Evaluasi
2026-07-11,TikTok,Edukasi,"Aku baru sadar, jualan digital itu bukan soal punya produk banyak.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 11 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Checklist Launching Produk,Terjadwal,https://contoh-link-post.com,507,43,2,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-12,Instagram,Storytelling,"Kalau kamu mau mulai affiliate, jangan mulai dari link dulu.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 12 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Paket Ide Konten TikTok,Posted,https://contoh-link-post.com,544,46,3,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-13,Threads,Soft selling,3 hal yang bikin konten promosi terasa lebih natural.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 13 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Template Bio & CTA,Ide,https://contoh-link-post.com,581,49,4,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-14,TikTok,Listicle,Produk digital pertamaku dimulai dari file sederhana di HP.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 14 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Template Deskripsi Lynk ID,Draft,https://contoh-link-post.com,618,52,5,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-15,Instagram,Review,Cara bikin caption jualan yang nggak kaku.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 15 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Bundle Produk Digital Pemula,Terjadwal,https://contoh-link-post.com,655,55,6,0,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-16,Threads,Edukasi,"Kalau bingung jualan apa, mulai dari masalah kecil ini.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 16 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,E-book Cara Mulai Produk Digital dari HP,Posted,https://contoh-link-post.com,692,58,7,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-17,TikTok,Storytelling,Ini alur simpel bikin produk digital dalam sehari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 17 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Template Caption Affiliate,Ide,https://contoh-link-post.com,729,61,8,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-18,Instagram,Soft selling,Aku pakai cara ini buat nyusun ide konten 30 hari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 18 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Hook Viral Threads,Draft,https://contoh-link-post.com,766,64,0,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-19,Threads,Listicle,Jangan upload produk sebelum cek 5 hal ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 19 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Digital Product Seller Dashboard,Terjadwal,https://contoh-link-post.com,803,67,1,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-20,TikTok,Review,Affiliate pemula sering skip bagian paling penting ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 20 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Canva Template Pack,Posted,https://contoh-link-post.com,840,70,2,0,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-21,Instagram,Edukasi,"Aku baru sadar, jualan digital itu bukan soal punya produk banyak.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 21 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Prompt AI untuk Jualan,Ide,https://contoh-link-post.com,877,73,3,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-22,Threads,Storytelling,"Kalau kamu mau mulai affiliate, jangan mulai dari link dulu.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 22 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Shopee Affiliate Starter Kit,Draft,https://contoh-link-post.com,914,76,4,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-23,TikTok,Soft selling,3 hal yang bikin konten promosi terasa lebih natural.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 23 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Content Calendar 30 Hari,Terjadwal,https://contoh-link-post.com,951,79,5,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-24,Instagram,Listicle,Produk digital pertamaku dimulai dari file sederhana di HP.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 24 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Money Tracker Seller,Posted,https://contoh-link-post.com,988,82,6,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-25,Threads,Review,Cara bikin caption jualan yang nggak kaku.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 25 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Mini Course Produk Digital,Ide,https://contoh-link-post.com,1025,85,7,0,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-26,TikTok,Edukasi,"Kalau bingung jualan apa, mulai dari masalah kecil ini.","Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 26 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Checklist Launching Produk,Draft,https://contoh-link-post.com,1062,88,8,1,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-27,Instagram,Storytelling,Ini alur simpel bikin produk digital dalam sehari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 27 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Paket Ide Konten TikTok,Terjadwal,https://contoh-link-post.com,1099,91,0,2,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-28,Threads,Soft selling,Aku pakai cara ini buat nyusun ide konten 30 hari.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 28 ini fokus bikin audiens paham value sebelum diajak beli.",Komen 'mulai' kalau mau contoh formatnya.,Template Bio & CTA,Posted,https://contoh-link-post.com,1136,94,1,3,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-29,TikTok,Listicle,Jangan upload produk sebelum cek 5 hal ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 29 ini fokus bikin audiens paham value sebelum diajak beli.",Cek link di bio kalau mau template siap pakai.,Template Deskripsi Lynk ID,Ide,https://contoh-link-post.com,1173,97,2,4,Catat hook mana yang bikin komentar/DM paling banyak
2026-07-30,Instagram,Review,Affiliate pemula sering skip bagian paling penting ini.,"Mulai dari satu langkah kecil: pilih masalah audiens, bikin solusi simpel, lalu catat hasilnya. Konten hari 30 ini fokus bikin audiens paham value sebelum diajak beli.",DM 'seller' kalau mau aku kirim detailnya.,Bundle Produk Digital Pemula,Draft,https://contoh-link-post.com,1210,100,3,0,Catat hook mana yang bikin komentar/DM paling banyak
