Hook,Kategori,Target Audiens,Emosi yang Dipancing,Cocok untuk Platform,Produk yang Cocok,Catatan
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #20 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #21 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #22 ini.",produk digital,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #23 ini.",produk digital,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #24 ini.",produk digital,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Produk digital pertamamu nggak harus sempurna, coba mulai dari ide #25 ini.",produk digital,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #1 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #2 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #3 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #4 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #5 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #6 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #7 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #8 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #9 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #10 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #11 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #12 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #13 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #14 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #15 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #16 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #17 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #18 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #19 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #20 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #21 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #22 yang sering orang cari.",affiliate,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #23 yang sering orang cari.",affiliate,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #24 yang sering orang cari.",affiliate,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Sebelum share link affiliate, coba jelasin manfaat kecil #25 yang sering orang cari.",affiliate,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering stuck caption, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering takut promosi, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering nggak punya sistem, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering bingung mulai, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering stuck caption, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering takut promosi, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering nggak punya sistem, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering bingung mulai, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering stuck caption, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering takut promosi, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering nggak punya sistem, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering bingung mulai, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering stuck caption, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering takut promosi, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering nggak punya sistem, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering bingung mulai, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering stuck caption, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering takut promosi, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering nggak punya sistem, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Kalau kamu sering bingung mulai, ini tanda kamu butuh alur yang lebih rapi.",problem-aware,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #1 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #2 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #3 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #4 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #5 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #6 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #7 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #8 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #9 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #10 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #11 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #12 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #13 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #14 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Aku nggak nyuruh kamu beli, tapi cara #15 ini bikin jualan lebih gampang diatur.",soft selling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #1 ini.",storytelling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #2 ini.",storytelling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #3 ini.",storytelling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #4 ini.",storytelling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #5 ini.",storytelling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #6 ini.",storytelling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #7 ini.",storytelling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #8 ini.",storytelling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #9 ini.",storytelling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #10 ini.",storytelling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #11 ini.",storytelling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #12 ini.",storytelling,Seller/creator pemula,relate,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #13 ini.",storytelling,Seller/creator pemula,penasaran,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #14 ini.",storytelling,Seller/creator pemula,merasa dibantu,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
"Dulu aku kira jualan dari HP ribet, sampai aku coba langkah simpel #15 ini.",storytelling,Seller/creator pemula,termotivasi,"Threads, TikTok, Instagram","Template, e-book, affiliate product, mini course","Pakai sebagai opening, lalu lanjutkan dengan contoh nyata"
